"","CHR_PCODE","CHR_SYS_SAMPLE_CDE","CHR_SAMPLE_DEL_GRP","CHR_SAMPLE_DEL_GRP_EQUIS","CHR_LAB_ANAL_METHOD_NAME","CHR_ANALYSIS_DATE","CHR_TEST_TYPE","CHR_LAB_MATRIX_CDE","CHR_DILUTION_FACTOR","CHR_PREP_METHOD","CHR_PREP_DATE","CHR_LAB_NAME_CDE","CHR_QC_LEVEL","CHR_LAB_SAMPLE_ID","CHR_SUBSAMPLE_AMT","CHR_SUBSAMPLE_AMT_UNIT","CHR_FINAL_VOLUME","CHR_FINAL_VOLUME_UNIT","CHR_CAS_RN","CHR_RESULT_VALUE","CHR_RESULT_TYPE_CDE","CHR_REPORTABLE_RESULT","CHR_DETECT_FLAG","CHR_QLFR_SRC","CHR_LAB_QUAL","CHR_VALIDATED_YN","CHR_VALIDATION_DATE","CHR_VALIDATOR_QUAL","CHR_VALIDATOR_QUAL_EXPLN","CHR_METHOD_DETECT_LIMIT","CHR_REPORTING_DETECT_LIMIT","CHR_QUANTITATION_LIMIT","CHR_DETECTION_LIMIT_UNIT","CHR_LAB_VALIDATION_LEVEL","CHR_RESULT_COMMENT","CHR_QC_ORIG_CONC","CHR_QC_SPIKE_ADDED","CHR_QC_SPIKE_MEASURED","CHR_QC_SPIKE_RECOVERY","CHR_QC_DUP_ORIG_CONC","CHR_QC_DUP_SPIKE_ADDED","CHR_QC_DUP_SPIKE_MEASURED","CHR_QC_DUP_SPIKE_RECOVERY","CHR_QC_RPD","CHR_QC_SPIKE_LCL","CHR_QC_SPIKE_UCL","CHR_QC_RPD_CL","CHR_QC_SPIKE_STATUS","CHR_QC_DUP_SPIKE_STATUS","CHR_QC_RPD_STATUS","CHS_EVENT_SMAS_HISTORY_ID","CHS_EVENT_SMAS_SAMPLE_DATE","CHS_SITE_ID_CORR_YN","CHS_DATA_PROVIDER","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP_EQUIS","CHS_SAMPLE_DATETIME","CHS_SAMPLE_RECEIPT_DATE","CHS_SYS_LOC_CDE","CHS_CHAIN_OF_CUSTODY","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT","CHEM_PARAMETER_PCODE","CHEM_PARAMETER_NAME","CHEM_PARAMETER_UNIT","CHEM_PARAMETER_UNIT_NOSP","CHEM_PARAMETER_FRACTION","CHEM_PARAMETER_SOURCE","CHEM_PARAMETER_NOTES"
"117845",69,"07-CHIT-3.4-10022019-W","R1909548","","E200.8","10/15/2019 12:54:00","initial","WS",1,"E200.0","10/14/2019 00:00:00","ALSRNY","quant","R1909548-005",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-CHIT-3.4","10/02/2019","N","ALSRNY","07-CHIT-3.4","WS","N","N","Field","","","10/02/2019 10:30:00","10/03/2019","07-CHIT-3.4","","093019C02W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"117853",69,"04-BUCK-2.0-07242019-W","R1906884","","E200.8","07/30/2019 14:57:00","initial","WS",1,"E200.0","07/29/2019 00:00:00","ALSRNY","quant","R1906884-010",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","04-BUCK-2.0","07/24/2019","N","ALSRNY","04-BUCK-2.0-07242019-W","WS","N","N","Field","","","07/24/2019 10:30:00","07/25/2019","04-BUCK-2.0","","072219CO3W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"117855",69,"09-LTTL-13.2-09102019-W","R1908761","","E200.8","09/26/2019 11:35:00","initial","WS",1,"E200.0","09/18/2019 00:00:00","ALSRNY","quant","R1908761-003",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-LTTL-13.2","09/10/2019","N","ALSRNY","09-LTTL-13.2-09102019-W","WS","N","N","Field","","","09/10/2019 13:45:00","09/11/2019","09-LTTL-13.2","","090919C03W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"117858",69,"07-FSHO-2.3-08072019-W","R1907499","","E200.8","08/14/2019 13:36:00","initial","WS",1,"E200.0","08/12/2019 00:00:00","ALSRNY","quant","R1907499-007",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-FSHO-2.3","08/07/2019","N","ALSRNY","07-FSHO-2.3-08072019-W","WS","N","N","Field","","","08/07/2019 13:00:00","08/08/2019","07-FSHO-2.3","","072219CO2W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"117859",69,"07-SUKE-0.3-08122019-W","R1907624","","E200.8","08/27/2019 10:32:00","initial","WS",1,"E200.0","08/19/2019 00:00:00","ALSRNY","quant","R1907624-015",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-SUKE-0.3","08/12/2019","N","ALSRNY","07-SUKE-0.3-08122019-W","WS","N","N","Field","","","08/12/2019 15:00:00","08/13/2019","07-SUKE-0.3","","081219COW","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"117918",69,"10-HALF-0.3-10032019-W","R1909697","","E200.8","10/18/2019 13:53:00","initial","WS",1,"E200.0","10/16/2019 00:00:00","ALSRNY","quant","R1909697-003",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-HALF-0.3","10/03/2019","N","ALSRNY","10-HALF-0.3","WS","N","N","Field","","","10/03/2019 10:00:00","10/04/2019","10-HALF-0.3","","100319C02W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"117941",69,"14-HAFY_T8-0.1-08202019-W","R1907962","","E200.8","09/03/2019 12:45:00","initial","WS",1,"E200.0","08/30/2019 00:00:00","ALSRNY","quant","R1907962-004",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-HAFY_T8-0.1","08/20/2019","N","ALSRNY","14-HAFY_T8-0.1-08202019-W","WS","N","N","Field","","","08/20/2019 13:00:00","08/21/2019","14-HAFY_T8-0.1","","081919CO1W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"117963",69,"07-EGGL-0.2-08122019-W","R1907624","","E200.8","08/27/2019 10:19:00","initial","WS",1,"E200.0","08/19/2019 00:00:00","ALSRNY","quant","R1907624-005",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-EGGL-0.2","08/12/2019","N","ALSRNY","07-EGGL-0.2-08122019-W","WS","N","N","Field","","","08/12/2019 09:00:00","08/13/2019","07-EGGL-0.2","","081219COW","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"117968",69,"07-GLNK-0.2-08152019-WS","R1907829","","E200.8","08/28/2019 16:13:00","initial","WS",1,"E200.0","08/26/2019 00:00:00","ALSRNY","quant","R1907829-025",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-GLNK-0.2","08/15/2019","N","ALSRNY","07-GLNK-0.2-08152019-WS","WS","N","N","Field","","","08/15/2019 11:40:00","08/16/2019","07-GLNK-0.2","","072219C01W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118034",69,"07-MASH-0.1-06192019-W","R1905658","","E200.8","06/26/2019 11:49:00","initial","WS",1,"E200.0","06/25/2019 00:00:00","ALSRNY","quant","R1905658-017",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-CTLE-0.1","06/19/2019","Y","ALSRNY","07-MASH-0.1","WS","N","N","Field","","","06/19/2019 14:30:00","06/20/2019","07-MASH-0.1","","061719C01W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118064",69,"07-REED-0.1-08142019-WS","R1907829","","E200.8","08/27/2019 12:32:00","initial","WS",1,"E200.0","08/21/2019 00:00:00","ALSRNY","quant","R1907829-017",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-REED-0.1","08/14/2019","N","ALSRNY","07-REED-0.1-08142019-WS","WS","N","N","Field","","","08/14/2019 15:07:00","08/15/2019","07-REED-0.1","","072219C01W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118099",69,"07-MASH-0.1-08142019-WS","R1907829","","E200.8","08/27/2019 12:26:00","initial","WS",1,"E200.0","08/21/2019 00:00:00","ALSRNY","quant","R1907829-015",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-CTLE-0.1","08/14/2019","Y","ALSRNY","07-MASH-0.1-08142019-WS","WS","N","N","Field","","","08/14/2019 15:59:00","08/15/2019","07-MASH-0.1","","072219C01W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118126",69,"BETT-0.1-08012019-W","R1907241","","E200.8","08/12/2019 09:21:00","initial","WS",1,"E200.0","08/08/2019 00:00:00","ALSRNY","quant","R1907241-012",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-BETT-0.1","08/01/2019","Y","ALSRNY","BETT-0.1-08012019-W","WS","N","N","Field","","","08/01/2019 13:45:00","08/02/2019","BETT-0.1","","072919CO2W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118154",69,"04-BADN-8.7-07242019-W","R1906884","","E200.8","07/30/2019 15:19:00","initial","WS",1,"E200.0","07/29/2019 00:00:00","ALSRNY","quant","R1906884-016",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","04-BADN-8.7","07/24/2019","N","ALSRNY","04-BADN-8.7-07242019-W","WS","N","N","Field","","","07/24/2019 14:45:00","07/25/2019","04-BADN-8.7","","072219CO3W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118165",69,"09-ALDM-0.8-09112019-W","R1908762","","E200.8","09/24/2019 11:54:00","initial","WS",1,"E200.0","09/20/2019 00:00:00","ALSRNY","quant","R1908762-009",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-ALDM-0.8","09/11/2019","N","ALSRNY","09-ALDM-0.8-09112019-W","WS","N","N","Field","","","09/11/2019 13:45:00","09/12/2019","09-ALDM-0.8","","090919C04W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118168",69,"07-WEST-7.3-10102019-WS","R1909990","","E200.8","10/23/2019 12:12:00","initial","WS",1,"E200.0","10/22/2019 00:00:00","ALSRNY","quant","R1909990-013",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-WEST-7.3","10/10/2019","N","ALSRNY","07-WEST-7.3-10102019-WS","WS","N","N","Field","","","10/10/2019 00:00:00","10/11/2019","07-WEST-7.3","","","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118177",69,"07-SRAG-0.1-10012019-W","R1909548","","E200.8","10/15/2019 12:42:00","initial","WS",1,"E200.0","10/14/2019 00:00:00","ALSRNY","quant","R1909548-001",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-SRAG-0.1","10/01/2019","N","ALSRNY","07-SRAG-0.1","WS","N","N","Field","","","10/01/2019 14:00:00","10/02/2019","07-SRAG-0.1","","093019C02W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118181",69,"14-NEVR-14.6-08202019-W","R1907960","","E200.8","09/04/2019 13:22:00","initial","WS",1,"E200.0","09/03/2019 00:00:00","ALSRNY","quant","R1907960-005",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-NEVR-14.6","08/20/2019","N","ALSRNY","14-NEVR-14.6-08202019-W","WS","N","N","Field","","","08/20/2019 13:35:00","08/21/2019","14-NEVR-14.6","","081919CO3W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118187",69,"07-BSWP-0.1-06182019-W","R1905658","","E200.8","06/26/2019 11:30:00","initial","WS",1,"E200.0","06/25/2019 00:00:00","ALSRNY","quant","R1905658-009",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-BSWP-0.1","06/18/2019","N","ALSRNY","07-BSWP-0.1","WS","N","N","Field","","","06/18/2019 13:00:00","06/19/2019","07-BSWP-0.1","","061719C01W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118211",69,"09-FSCR-1.0-09172019-W","R1908960","","E200.8","09/26/2019 13:16:00","initial","WS",1,"E200.0","09/25/2019 00:00:00","ALSRNY","quant","R1908960-005",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-FSCR-1.0","09/17/2019","N","ALSRNY","09-FSCR-1.0-09172019-W","WS","N","N","Field","","","09/17/2019 11:00:00","09/19/2019","09-FSCR-1.0","","091619C02W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118213",69,"14-EDEL-1.2-08212019-W","R1907960","","E200.8","09/04/2019 13:41:00","initial","WS",1,"E200.0","09/03/2019 00:00:00","ALSRNY","quant","R1907960-013",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-EDEL-1.2","08/21/2019","N","ALSRNY","14-EDEL-1.2-08212019-W","WS","N","N","Field","","","08/21/2019 12:30:00","08/22/2019","14-EDEL-1.2","","081919CO3W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118226",69,"12-MOHK-44.5-09052019-W","R1908645","","E200.8","09/18/2019 12:50:00","initial","WS",1,"E200.0","09/16/2019 00:00:00","ALSRNY","quant","R1908645-009",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","12-MOHK-44.5","09/05/2019","N","ALSRNY","12-MOHK-44.5-09052019-W","WS","N","N","Field","","","09/05/2019 13:00:00","09/06/2019","12-MOHK-44.5","","090419CO2W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118231",69,"09-BLAH-4.2-06252019-W","R1905962","","E200.8","07/03/2019 12:12:00","initial","WS",1,"E200.0","07/02/2019 00:00:00","ALSRNY","quant","R1905962-009",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-BLAH-4.2","06/25/2019","N","ALSRNY","09-BLAH-4.2-06252019-W","WS","N","N","Field","","","06/25/2019 14:30:00","06/26/2019","09-BLAH-4.2","","","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118232",69,"07-SKAT_T5-0.1-08142019-W","R1907829","","E200.8","08/27/2019 12:04:00","initial","WS",1,"E200.0","08/21/2019 00:00:00","ALSRNY","quant","R1907829-003",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-SKAT_T5-0.1","08/14/2019","N","ALSRNY","07-SKAT_T5-0.1-08142019-WS","WS","N","N","Field","","","08/14/2019 10:22:00","08/15/2019","07-SKAT_T5-0.1","","072219C01W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118320",69,"14-UNVR-51.0-08212019-W","R1907964","","E200.8","09/03/2019 14:24:00","initial","WS",1,"E200.0","08/30/2019 00:00:00","ALSRNY","quant","R1907964-012",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-UNVR-51.0","08/21/2019","N","ALSRNY","14-UNVR-51.0-08212019-W","WS","N","N","Field","","","08/21/2019 11:30:00","08/22/2019","14-UNVR-51.0","","081919CO2W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118329",69,"04-WCOY-16.5-07242019-W","R1906885","","E200.8","08/02/2019 13:34:00","initial","WS",1,"E200.0","07/30/2019 00:00:00","ALSRNY","quant","R1906885-010",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","04-WCOY-16.5","07/24/2019","N","ALSRNY","04-WCOY-16.5-07242019-W","WS","N","N","Field","","","07/24/2019 12:30:00","07/25/2019","04-WCOY-16.5","","072219CO2W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118332",69,"10-HALF-1.4-09052019-W","R1908632","","E200.8","09/18/2019 12:26:00","initial","WS",1,"E200.0","09/16/2019 00:00:00","ALSRNY","quant","R1908632-004",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-HALF-1.4","09/05/2019","N","ALSRNY","10-HALF-1.4-09052019-W","WS","N","N","Field","","","09/05/2019 10:20:00","09/06/2019","10-HALF-1.4","","090219CO1W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118354",69,"09-GTCH-0.8-09172019-W","R1908960","","E200.8","09/26/2019 13:14:00","initial","WS",1,"E200.0","09/25/2019 00:00:00","ALSRNY","quant","R1908960-004",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-GTCH-0.8","09/17/2019","N","ALSRNY","09-GTCH-0.8-09172019-W","WS","N","N","Field","","","09/17/2019 09:30:00","09/19/2019","09-GTCH-0.8","","091619C02W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118382",69,"09-SYLV-1.4-09112019-W","R1908759","","E200.8","09/20/2019 16:25:00","initial","WS",1,"E200.0","09/16/2019 00:00:00","ALSRNY","quant","R1908759-008",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-SYLV-1.4","09/11/2019","N","ALSRNY","09-SYLV-1.4-09112019-W","WS","N","N","Field","","","09/11/2019 14:10:00","09/12/2019","09-SYLV-1.4","","090919C01W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118400",69,"14-LEBA-0.6-08202019-W","R1907960","","E200.8","09/04/2019 13:24:00","initial","WS",1,"E200.0","09/03/2019 00:00:00","ALSRNY","quant","R1907960-006",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-LEBA-0.6","08/20/2019","N","ALSRNY","14-LEBA-0.6-08202019-W","WS","N","N","Field","","","08/20/2019 14:45:00","08/21/2019","14-LEBA-0.6","","081919CO3W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118411",69,"03-SALM-12.0-08142018-WS","R1807696","","E200.8","08/25/2018 14:57:00","initial","WS",1,"E200.0","08/24/2018 00:00:00","ALSRNY","quant","R1807696-010",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.067,0.067,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","03-SALM-12.0","08/14/2018","N","ALSRNY","03-SALM-12.0-08142018-WS","WS","N","N","Field","","","08/14/2018 11:00:00","08/15/2018","Unknown","","","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118412",69,"10-HALF_T1-0.1-08052019-W","R1907352","","E200.8","08/14/2019 13:11:00","initial","WS",1,"E200.0","08/12/2019 00:00:00","ALSRNY","quant","R1907352-005",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-HALF_T1-0.1","08/05/2019","N","ALSRNY","10-HALF_T1-0.1-08052019-W","WS","N","N","Field","","","08/05/2019 10:20:00","08/06/2019","10-HALF_T1-0.1","","080519CO1W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118424",69,"10-HALF_T1-0.1-09052019-W","R1908632","","E200.8","09/18/2019 12:28:00","initial","WS",1,"E200.0","09/16/2019 00:00:00","ALSRNY","quant","R1908632-005",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-HALF_T1-0.1","09/05/2019","N","ALSRNY","10-HALF_T1-0.1-09052019-W","WS","N","N","Field","","","09/05/2019 10:40:00","09/06/2019","10-HALF_T1-0.1","","090219CO1W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118431",69,"13-SWAK-1.7-08142019-W","R1907828","","E200.8","08/27/2019 12:49:00","initial","WS",1,"E200.0","08/21/2019 00:00:00","ALSRNY","quant","R1907828-001",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-SWAK-1.7","08/14/2019","N","ALSRNY","13-SWAK-1.7-08142019-W","WS","N","N","Field","","","08/14/2019 09:05:00","08/15/2019","13-SWAK-1.7","","081219C03W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118459",69,"10-HALF-0.1-10032019-W","R1909697","","E200.8","10/18/2019 13:49:00","initial","WS",1,"E200.0","10/16/2019 00:00:00","ALSRNY","quant","R1909697-001",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-HALF-0.1","10/03/2019","N","ALSRNY","10-HALF-0.1","WS","N","N","Field","","","10/03/2019 09:15:00","10/04/2019","10-HALF-0.1","","100319C02W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
"118470",69,"14-MONG_M-0.3-08202019-W","R1907960","","E200.8","09/04/2019 13:26:00","initial","WS",1,"E200.0","09/03/2019 00:00:00","ALSRNY","quant","R1907960-007",10,"mL",10,"mL","7439-92-1",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.57,0.57,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-MONG_M-0.3","08/20/2019","N","ALSRNY","14-MONG_M-0.3-08202019-W","WS","N","N","Field","","","08/20/2019 16:15:00","08/21/2019","14-MONG_M-0.3","","081919CO3W","NYSDEC","",69,"LEAD","µg/L","ug/L","TOTAL","LAB",""
